"survey_id" "water_id" "water_id_num" "lon" "lat" "utm_x" "utm_y" "transect_location" "transect_GRR" "transect_id" "river_class" "year" "week" "weeks_all" "juldate" "dry_season" "distance_to_water" "distance_to_water_rounded" "species" "species_id" "FEEDTYPE_A" "feed_type_A_char" "species_count"
"37" 46 "1006" 1006 35.11234 -7.49616 733106 9170841 1 "alongside" 10 "3_downstream" 2011 1 1 9 "early" 326.73 327 "I" 1 3 "mixed" 10
"38" 47 "1018" 1018 35.12181 -7.49068 734155 9171442 1 "alongside" 10 "3_downstream" 2011 1 1 9 "early" 306.54 307 "I" 1 3 "mixed" 6
"39" 48 "1021" 1021 35.1253 -7.4913 734540 9171372 1 "alongside" 10 "3_downstream" 2011 1 1 9 "early" 204.53 205 "I" 1 3 "mixed" 1
"40" 49 "1028" 1028 35.13279 -7.49331 735366 9171145 1 "alongside" 10 "3_downstream" 2011 1 1 9 "early" 449.62 450 "Wb" 9 1 "grazer" 1
"41" 50 "1046" 1046 35.1401 -7.48704 736176 9171835 1 "alongside" 10 "3_downstream" 2011 1 1 9 "early" 403.92 404 "I" 1 3 "mixed" 17
"42" 59 "450" 450 34.81992 -7.78234 700691 9139333 2 "perpendicular" 3 "1_upstream" 2011 1 1 11 "early" 1785.49 1785 "I" 1 3 "mixed" 1
"43" 60 "478" 478 34.82653 -7.76535 701429 9141209 2 "perpendicular" 3 "1_upstream" 2011 1 1 11 "early" 3299.58 3300 "I" 1 3 "mixed" 11
"44" 61 "478" 478 34.82835 -7.76383 701630 9141376 2 "perpendicular" 3 "1_upstream" 2011 1 1 11 "early" 3317.97 3318 "I" 1 3 "mixed" 9
"45" 62 "478" 478 34.82611 -7.75706 701386 9142126 2 "perpendicular" 3 "1_upstream" 2011 1 1 11 "early" 4083.69 4084 "I" 1 3 "mixed" 6
"46" 63 "451" 451 34.81139 -7.7488 699766 9143047 2 "perpendicular" 3 "1_upstream" 2011 1 1 11 "early" 5586.87 5587 "Wh" 6 4 "omni" 4
"47" 65 "282" 282 34.69234 -7.8429 686591 9132694 1 "alongside" 6 "1_upstream" 2011 1 1 12 "early" 327.87 328 "I" 1 3 "mixed" 1
"48" 66 "220" 220 34.65247 -7.87281 682181 9129403 1 "alongside" 6 "1_upstream" 2011 1 1 12 "early" 289 289 "I" 1 3 "mixed" 6
"49" 67 "187" 187 34.62563 -7.88579 679216 9127979 1 "alongside" 6 "1_upstream" 2011 1 1 12 "early" 258.85 259 "I" 1 3 "mixed" 4
"50" 68 "154" 154 34.60114 -7.89701 676511 9126749 1 "alongside" 6 "1_upstream" 2011 1 1 12 "early" 258.32 258 "I" 1 3 "mixed" 1
"51" 70 "143" 143 34.59315 -7.89598 675630 9126866 1 "alongside" 6 "1_upstream" 2011 1 1 12 "early" 412.64 413 "I" 1 3 "mixed" 1
"52" 72 "1339" 1339 34.56725 -7.85814 672790 9131062 2 "perpendicular" 1 "1_upstream" 2011 1 1 13 "early" 1156.3 1156 "G" 2 2 "browser" 4
"53" 73 "1339" 1339 34.55304 -7.8405 671230 9133018 2 "perpendicular" 1 "1_upstream" 2011 1 1 13 "early" 3569.02 3569 "I" 1 3 "mixed" 8
"54" 78 "671" 671 34.93027 -7.67618 712918 9151021 2 "perpendicular" 4 "2_midstream" 2011 1 1 14 "early" 1087.77 1088 "Z" 5 1 "grazer" 14
"55" 79 "684" 684 34.9309 -7.67506 712988 9151145 2 "perpendicular" 4 "2_midstream" 2011 1 1 14 "early" 1067.29 1067 "I" 1 3 "mixed" 1
"56" 80 "684" 684 34.93047 -7.67381 712941 9151284 2 "perpendicular" 4 "2_midstream" 2011 1 1 14 "early" 1119.82 1120 "Z" 5 1 "grazer" 1
"57" 85 "1338" 1338 34.91577 -7.65457 711328 9153419 2 "perpendicular" 4 "2_midstream" 2011 1 1 14 "early" 2913.34 2913 "G" 2 2 "browser" 1
